Index,Image_Name,Ground_Truth,Prediction_Raw,Delta1_Score,Full_Model_Output
20,rgb/kitchen_03.png,2.468146791790646,2.08,1.0,<think> The point is around 2.08 meters away from the camera. </think>  <answer> 2.08 </answer>
21,rgb/kitchen_04.png,2.759594110017548,2.88,1.0,<think> The point is around 2.88 meters away from the camera. </think>  <answer> 2.88 </answer>
22,rgb/kitchen_05.png,1.667048142214084,1.53,1.0,<think> The point is around 1.53 meters away from the camera. </think>  <answer> 1.53 </answer>
23,rgb/kitchen_06.png,2.5818265049210343,2.58,1.0,<think> The point is around 2.58 meters away from the camera. </think>  <answer> 2.58 </answer>
24,rgb/kitchen_07.png,5.516136415655756,5.00,1.0,<think> The point is around 5.00 meters away from the camera. </think>  <answer> 5.00 </answer>
25,rgb/kitchen_08.png,4.502174410620279,3.48,0.0,<think> The point is around 3.48 meters away from the camera. </think>  <answer> 3.48 </answer>
26,rgb/lab_01.png,2.4536507209887852,2.43,1.0,<think> The point is around 2.43 meters away from the camera. </think>  <answer> 2.43 </answer>
27,rgb/lab_02.png,7.434195468070497,7.08,1.0,<think> The point is around 7.08 meters away from the camera. </think>  <answer> 7.08 </answer>
28,rgb/lab_03.png,2.145418478675517,2.20,1.0,<think> The point is around 2.20 meters away from the camera. </think>  <answer> 2.20 </answer>
29,rgb/lab_04.png,1.5716792553597312,2.58,0.0,<think> The point is around 2.58 meters away from the camera. </think>  <answer> 2.58 </answer>
30,rgb/lab_05.png,5.22392614633402,5.10,1.0,<think> The point is around 5.10 meters away from the camera. </think>  <answer> 5.10 </answer>
31,rgb/lab_06.png,2.9175249866483552,2.83,1.0,<think> The point is around 2.83 meters away from the camera. </think>  <answer> 2.83 </answer>
32,rgb/lab_07.png,5.254444190127413,5.08,1.0,<think> The point is around 5.08 meters away from the camera. </think>  <answer> 5.08 </answer>
33,rgb/lab_08.png,7.153429465171283,1.30,0.0,<think> The point is around 1.30 meters away from the camera. </think>  <answer> 1.30 </answer>
34,rgb/lab_09.png,3.064774547951476,2.88,1.0,<think> The point is around 2.88 meters away from the camera. </think>  <answer> 2.88 </answer>
35,rgb/lab_10.png,6.166170748455024,1.48,0.0,<think> The point is around 1.48 meters away from the camera. </think>  <answer> 1.48 </answer>
36,rgb/lab_11.png,7.364003967345693,5.30,0.0,<think> The point is around 5.30 meters away from the camera. </think>  <answer> 5.30 </answer>
37,rgb/lectureroom_01.png,8.690012970168612,6.30,0.0,<think> The point is around 6.30 meters away from the camera. </think>  <answer> 6.30 </answer>
38,rgb/lectureroom_02.png,1.6601815823605701,1.38,1.0,<think> The point is around 1.38 meters away from the camera. </think>  <answer> 1.38 </answer>
39,rgb/lectureroom_03.png,1.53353170061799,0.88,0.0,<think> The point is around 0.88 meters away from the camera. </think>  <answer> 0.88 </answer>
40,rgb/lectureroom_04.png,3.6636911573968103,3.60,1.0,<think> The point is around 3.60 meters away from the camera. </think>  <answer> 3.60 </answer>
41,rgb/lectureroom_05.png,2.831311512932021,2.68,1.0,<think> The point is around 2.68 meters away from the camera. </think>  <answer> 2.68 </answer>
42,rgb/lectureroom_06.png,11.21080338750286,7.08,0.0,<think> The point is around 7.08 meters away from the camera. </think>  <answer> 7.08 </answer>
43,rgb/lectureroom_07.png,6.369115739681086,5.87,1.0,<think> The point is around 5.87 meters away from the camera. </think>  <answer> 5.87 </answer>
44,rgb/lectureroom_08.png,9.618524452582589,7.38,0.0,<think> The point is around 7.38 meters away from the camera. </think>  <answer> 7.38 </answer>
45,rgb/lectureroom_09.png,14.384679942015717,7.08,0.0,<think> The point is around 7.08 meters away from the camera. </think>  <answer> 7.08 </answer>
46,rgb/lectureroom_10.png,7.24956130312047,6.38,1.0,<think> The point is around 6.38 meters away from the camera. </think>  <answer> 6.38 </answer>
47,rgb/livingroom_01.png,2.458991378652628,2.30,1.0,<think> The point is around 2.30 meters away from the camera. </think>  <answer> 2.30 </answer>
48,rgb/livingroom_02.png,1.7814908064393071,1.68,1.0,<think> The point is around 1.68 meters away from the camera. </think>  <answer> 1.68 </answer>
49,rgb/livingroom_03.png,3.019760433356222,3.10,1.0,<think> The point is around 3.10 meters away from the camera. </think>  <answer> 3.10 </answer>
50,rgb/livingroom_04.png,2.147707331960021,2.30,1.0,<think> The point is around 2.30 meters away from the camera. </think>  <answer> 2.30 </answer>
51,rgb/livingroom_05.png,2.425421530479896,2.18,1.0,<think> The point is around 2.18 meters away from the camera. </think>  <answer> 2.18 </answer>
52,rgb/livingroom_06.png,3.093766689555199,3.20,1.0,<think> The point is around 3.20 meters away from the camera. </think>  <answer> 3.20 </answer>
53,rgb/livingroom_07.png,2.063019760433356,2.20,1.0,<think> The point is around 2.20 meters away from the camera. </think>  <answer> 2.20 </answer>
54,rgb/livingroom_08.png,3.633173113603418,3.58,1.0,<think> The point is around 3.58 meters away from the camera. </think>  <answer> 3.58 </answer>
55,rgb/livingroom_09.png,1.028458075837338,1.18,1.0,<think> The point is around 1.18 meters away from the camera. </think>  <answer> 1.18 </answer>
56,rgb/livingroom_10.png,1.046005951018539,1.08,1.0,<think> The point is around 1.08 meters away from the camera. </think>  <answer> 1.08 </answer>
57,rgb/livingroom_11.png,2.465094987411307,2.58,1.0,<think> The point is around 2.58 meters away from the camera. </think>  <answer> 2.58 </answer>
58,rgb/livingroom_12.png,2.49408712901503,2.38,1.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
59,rgb/livingroom_13.png,1.7830167086289772,1.88,1.0,<think> The point is around 1.88 meters away from the camera. </think>  <answer> 1.88 </answer>
60,rgb/livingroom_14.png,2.220187685969329,2.23,1.0,<think> The point is around 2.23 meters away from the camera. </think>  <answer> 2.23 </answer>
61,rgb/livingroom_15.png,6.699473563744564,6.30,1.0,<think> The point is around 6.30 meters away from the camera. </think>  <answer> 6.30 </answer>
62,rgb/meetingroom_01.png,1.85168230716411,2.08,1.0,<think> The point is around 2.08 meters away from the camera. </think>  <answer> 2.08 </answer>
63,rgb/meetingroom_02.png,0.932326237888151,0.90,1.0,<think> The point is around 0.90 meters away from the camera. </think>  <answer> 0.90 </answer>
64,rgb/meetingroom_03.png,3.113603418020905,3.00,1.0,<think> The point is around 3.00 meters away from the camera. </think>  <answer> 3.00 </answer>
65,rgb/meetingroom_04.png,3.392843518730449,3.10,1.0,<think> The point is around 3.10 meters away from the camera. </think>  <answer> 3.10 </answer>
66,rgb/meetingroom_05.png,2.146181429770351,2.30,1.0,<think> The point is around 2.30 meters away from the camera. </think>  <answer> 2.30 </answer>
67,rgb/meetingroom_06.png,1.690699626153963,2.00,1.0,<think> The point is around 2.00 meters away from the camera. </think>  <answer> 2.00 </answer>
68,rgb/meetingroom_07.png,2.273594262607766,2.38,1.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
69,rgb/meetingroom_08.png,3.968871595330739,3.57,1.0,<think> The point is around 3.57 meters away from the camera. </think>  <answer> 3.57 </answer>
70,rgb/office_01.png,3.250934615091172,3.38,1.0,<think> The point is around 3.38 meters away from the camera. </think>  <answer> 3.38 </answer>
71,rgb/office_02.png,1.3916227969787132,1.88,0.0,<think> The point is around 1.88 meters away from the camera. </think>  <answer> 1.88 </answer>
72,rgb/office_03.png,4.417486839093614,3.88,1.0,<think> The point is around 3.88 meters away from the camera. </think>  <answer> 3.88 </answer>
73,rgb/office_04.png,2.680247196154726,2.58,1.0,<think> The point is around 2.58 meters away from the camera. </think>  <answer> 2.58 </answer>
74,rgb/office_05.png,2.766460669871061,2.38,1.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
75,rgb/office_06.png,1.956969558251316,2.08,1.0,<think> The point is around 2.08 meters away from the camera. </think>  <answer> 2.08 </answer>
76,rgb/office_07.png,0.7202258335240711,1.23,0.0,<think> The point is around 1.23 meters away from the camera. </think>  <answer> 1.23 </answer>
77,rgb/office_08.png,3.221942473487449,3.08,1.0,<think> The point is around 3.08 meters away from the camera. </think>  <answer> 3.08 </answer>
78,rgb/restaurant_01.png,3.525597009231708,2.38,0.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
79,rgb/restaurant_02.png,7.27168688487068,6.38,1.0,<think> The point is around 6.38 meters away from the camera. </think>  <answer> 6.38 </answer>
80,rgb/restaurant_03.png,2.826733806363012,2.70,1.0,<think> The point is around 2.70 meters away from the camera. </think>  <answer> 2.70 </answer>
81,rgb/restaurant_04.png,1.673914702067597,1.88,1.0,<think> The point is around 1.88 meters away from the camera. </think>  <answer> 1.88 </answer>
82,rgb/restaurant_05.png,5.278095674067292,4.38,1.0,<think> The point is around 4.38 meters away from the camera. </think>  <answer> 4.38 </answer>
83,rgb/restaurant_06.png,2.6405737392233153,2.88,1.0,<think> The point is around 2.88 meters away from the camera. </think>  <answer> 2.88 </answer>
84,rgb/restaurant_07.png,1.25658045319295,1.37,1.0,<think> The point is around 1.37 meters away from the camera. </think>  <answer> 1.37 </answer>
85,rgb/restaurant_08.png,2.8496223392080573,3.00,1.0,<think> The point is around 3.00 meters away from the camera. </think>  <answer> 3.00 </answer>
86,rgb/restaurant_09.png,2.268253604943923,1.70,0.0,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
87,rgb/restaurant_10.png,2.420080872816052,2.30,1.0,<think> The point is around 2.30 meters away from the camera. </think>  <answer> 2.30 </answer>
88,rgb/restaurant_11.png,2.4269474326695653,2.08,1.0,<think> The point is around 2.08 meters away from the camera. </think>  <answer> 2.08 </answer>
89,rgb/restaurant_12.png,1.438162813763637,1.08,0.0,<think> The point is around 1.08 meters away from the camera. </think>  <answer> 1.08 </answer>
90,rgb/restroom_01.png,0.9941252765697711,1.13,1.0,<think> The point is around 1.13 meters away from the camera. </think>  <answer> 1.13 </answer>
91,rgb/restroom_02.png,3.472953383688105,3.57,1.0,<think> The point is around 3.57 meters away from the camera. </think>  <answer> 3.57 </answer>
92,rgb/storageroom_01.png,3.294422827496757,3.38,1.0,<think> The point is around 3.38 meters away from the camera. </think>  <answer> 3.38 </answer>
93,rgb/storageroom_02.png,2.02410925459678,1.70,1.0,<think> The point is around 1.70 meters away from the camera. </think>  <answer> 1.70 </answer>
94,rgb/storageroom_03.png,2.614633401998932,2.57,1.0,<think> The point is around 2.57 meters away from the camera. </think>  <answer> 2.57 </answer>
95,rgb/storageroom_04.png,2.36591134508278,2.60,1.0,<think> The point is around 2.60 meters away from the camera. </think>  <answer> 2.60 </answer>
96,rgb/storageroom_05.png,4.01007095445182,3.58,1.0,<think> The point is around 3.58 meters away from the camera. </think>  <answer> 3.58 </answer>
97,rgb/storageroom_06.png,3.012893873502708,3.00,1.0,<think> The point is around 3.00 meters away from the camera. </think>  <answer> 3.00 </answer>
98,rgb/storageroom_07.png,5.156786449988556,4.88,1.0,<think> The point is around 4.88 meters away from the camera. </think>  <answer> 4.88 </answer>
99,rgb/storageroom_08.png,1.715877012283512,2.18,0.0,<think> The point is around 2.18 meters away from the camera. </think>  <answer> 2.18 </answer>
100,rgb/corridor_01.png,2.036316472114137,1.58,0.0,<think> The point is around 1.58 meters away from the camera. </think>  <answer> 1.58 </answer>
101,rgb/corridor_02.png,2.8915846494239723,2.63,1.0,<think> The point is around 2.63 meters away from the camera. </think>  <answer> 2.63 </answer>
102,rgb/corridor_03.png,3.978789959563592,2.08,0.0,<think> The point is around 2.08 meters away from the camera. </think>  <answer> 2.08 </answer>
103,rgb/corridor_04.png,4.004730296787976,3.88,1.0,<think> The point is around 3.88 meters away from the camera. </think>  <answer> 3.88 </answer>
104,rgb/corridor_05.png,4.165712977798123,3.70,1.0,<think> The point is around 3.70 meters away from the camera. </think>  <answer> 3.70 </answer>
105,rgb/corridor_06.png,1.698329137102311,1.58,1.0,<think> The point is around 1.58 meters away from the camera. </think>  <answer> 1.58 </answer>
106,rgb/corridor_07.png,6.073090714885176,3.48,0.0,<think> The point is around 3.48 meters away from the camera. </think>  <answer> 3.48 </answer>
107,rgb/corridor_08.png,2.438391699092088,2.10,1.0,<think> The point is around 2.10 meters away from the camera. </think>  <answer> 2.10 </answer>
108,rgb/corridor_09.png,3.054093232623788,3.08,1.0,<think> The point is around 3.08 meters away from the camera. </think>  <answer> 3.08 </answer>
109,rgb/corridor_10.png,4.3877317463950565,2.38,0.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
110,rgb/factory_01.png,1.263447013046463,1.20,1.0,<think> The point is around 1.20 meters away from the camera. </think>  <answer> 1.20 </answer>
111,rgb/factory_02.png,3.179217212176699,3.00,1.0,<think> The point is around 3.00 meters away from the camera. </think>  <answer> 3.00 </answer>
112,rgb/factory_03.png,4.057373922331578,3.38,1.0,<think> The point is around 3.38 meters away from the camera. </think>  <answer> 3.38 </answer>
113,rgb/factory_04.png,4.782177462424658,4.88,1.0,<think> The point is around 4.88 meters away from the camera. </think>  <answer> 4.88 </answer>
114,rgb/factory_05.png,3.3890287632562752,1.38,0.0,<think> The point is around 1.38 meters away from the camera. </think>  <answer> 1.38 </answer>
115,rgb/factory_06.png,1.976806286717021,1.27,0.0,<think> The point is around 1.27 meters away from the camera. </think>  <answer> 1.27 </answer>
116,rgb/factory_07.png,1.509117265583276,1.57,1.0,<think> The point is around 1.57 meters away from the camera. </think>  <answer> 1.57 </answer>
117,rgb/factory_08.png,1.10780498970016,1.32,1.0,<think> The point is around 1.32 meters away from the camera. </think>  <answer> 1.32 </answer>
118,rgb/kitchen_01.png,1.399252307927061,1.58,1.0,<think> The point is around 1.58 meters away from the camera. </think>  <answer> 1.58 </answer>
119,rgb/kitchen_02.png,1.6952773327229722,1.60,1.0,<think> The point is around 1.60 meters away from the camera. </think>  <answer> 1.60 </answer>
120,rgb/kitchen_03.png,1.839475089646753,1.58,1.0,<think> The point is around 1.58 meters away from the camera. </think>  <answer> 1.58 </answer>
121,rgb/kitchen_04.png,1.25505455100328,2.70,0.0,<think> The point is around 2.70 meters away from the camera. </think>  <answer> 2.70 </answer>
122,rgb/kitchen_05.png,1.528953994048981,1.43,1.0,<think> The point is around 1.43 meters away from the camera. </think>  <answer> 1.43 </answer>
123,rgb/kitchen_06.png,2.6359960326543073,2.57,1.0,<think> The point is around 2.57 meters away from the camera. </think>  <answer> 2.57 </answer>
124,rgb/kitchen_07.png,5.070572976272221,4.68,1.0,<think> The point is around 4.68 meters away from the camera. </think>  <answer> 4.68 </answer>
125,rgb/kitchen_08.png,1.255817502098115,1.88,0.0,<think> The point is around 1.88 meters away from the camera. </think>  <answer> 1.88 </answer>
126,rgb/lab_01.png,4.444190127412833,4.48,1.0,<think> The point is around 4.48 meters away from the camera. </think>  <answer> 4.48 </answer>
127,rgb/lab_02.png,2.784008545052262,3.00,1.0,<think> The point is around 3.00 meters away from the camera. </think>  <answer> 3.00 </answer>
